#T/C    T/F Rt/R    TC  R
-40	-40.0	33.647900	-6.66	336479.00
-39	-38.2	31.490400	-6.61	314904.00
-38	-36.4	29.484800	-6.56	294848.00
-37	-34.6	27.619400	-6.52	276194.00
-36	-32.8	25.883800	-6.47	258838.00
-35	-31.0	24.268100	-6.43	242681.00
-34	-29.2	22.763200	-6.39	227632.00
-33	-27.4	21.361000	-6.34	213610.00
-32	-25.6	20.053900	-6.30	200539.00
-31	-23.8	18.834900	-6.26	188349.00
-30	-22.0	17.697400	-6.21	176974.00
-29	-20.2	16.635600	-6.17	166356.00
-28	-18.4	15.644100	-6.13	156441.00
-27	-16.6	14.717700	-6.09	147177.00
-26	-14.8	13.851800	-6.05	138518.00
-25	-13.0	13.042100	-6.01	130421.00
-24	-11.2	12.284700	-5.97	122847.00
-23	-9.4	11.575900	-5.93	115759.00
-22	-7.6	10.912200	-5.89	109122.00
-21	-5.8	10.290600	-5.85	102906.00
-20	-4.0	9.708100	-5.81	97081.00
-19	-2.2	9.162100	-5.77	91621.00
-18	-0.4	8.650100	-5.74	86501.00
-17	1.4	8.169800	-5.70	81698.00
-16	3.2	7.719000	-5.66	77190.00
-15	5.0	7.295700	-5.63	72957.00
-14	6.8	6.898200	-5.59	68982.00
-13	8.6	6.524600	-5.55	65246.00
-12	10.4	6.173600	-5.52	61736.00
-11	12.2	5.843400	-5.48	58434.00
-10	14.0	5.532900	-5.45	55329.00
-9	15.8	5.240700	-5.41	52407.00
-8	17.6	4.965600	-5.38	49656.00
-7	19.4	4.706600	-5.34	47066.00
-6	21.2	4.462600	-5.31	44626.00
-5	23.0	4.232700	-5.28	42327.00
-4	24.8	4.015900	-5.24	40159.00
-3	26.6	3.811500	-5.21	38115.00
-2	28.4	3.618700	-5.18	36187.00
-1	30.2	3.436800	-5.15	34368.00
0	32.0	3.265000	-5.11	32650.00
1	33.8	3.102900	-5.08	31029.00
2	35.6	2.949800	-5.05	29498.00
3	37.4	2.805200	-5.01	28052.00
4	39.2	2.668500	-4.98	26685.00
5	41.0	2.539200	-4.95	25392.00
6	42.8	2.417000	-4.92	24170.00
7	44.6	2.301300	-4.89	23013.00
8	46.4	2.191800	-4.86	21918.00
9	48.2	2.088200	-4.83	20882.00
10	50.0	1.990100	-4.80	19901.00
11	51.8	1.897100	-4.77	18971.00
12	53.6	1.809000	-4.74	18090.00
13	55.4	1.725500	-4.71	17255.00
14	57.2	1.646300	-4.69	16463.00
15	59.0	1.571200	-4.66	15712.00
16	60.8	1.499900	-4.63	14999.00
17	62.6	1.432300	-4.60	14323.00
18	64.4	1.368100	-4.57	13681.00
19	66.2	1.307200	-4.54	13072.00
20	68.0	1.249300	-4.52	12493.00
21	69.8	1.194200	-4.50	11942.00
22	71.6	1.141900	-4.47	11419.00
23	73.4	1.092200	-4.44	10922.00
24	75.2	1.045000	-4.41	10450.00
25	77.0	1.000000	-4.39	10000.00
26	78.8	0.957200	-4.36	9572.00
27	80.6	0.916500	-4.34	9165.00
28	82.4	0.877700	-4.31	8777.00
29	84.2	0.840800	-4.28	8408.00
30	86.0	0.805700	-4.26	8057.00
31	87.8	0.772200	-4.24	7722.00
32	89.6	0.740200	-4.22	7402.00
33	91.4	0.709800	-4.18	7098.00
34	93.2	0.680800	-4.16	6808.00
35	95.0	0.653100	-4.14	6531.00
36	96.8	0.626700	-4.12	6267.00
37	98.6	0.601500	-4.09	6015.00
38	100.4	0.577500	-4.07	5775.00
39	102.2	0.554500	-4.05	5545.00
40	104.0	0.532600	-4.02	5326.00
41	105.8	0.511700	-4.00	5117.00
42	107.6	0.491700	-3.99	4917.00
43	109.4	0.472500	-3.96	4725.00
44	111.2	0.454300	-3.93	4543.00
45	113.0	0.436800	-3.91	4368.00
46	114.8	0.420100	-3.89	4201.00
47	116.6	0.404100	-3.87	4041.00
48	118.4	0.388800	-3.85	3888.00
49	120.2	0.374200	-3.82	3742.00
50	122.0	0.360200	-3.80	3602.00
51	123.8	0.346800	-3.78	3468.00
52	125.6	0.334000	-3.76	3340.00
53	127.4	0.321700	-3.75	3217.00
54	129.2	0.309900	-3.73	3099.00
55	131.0	0.298600	-3.70	2986.00
56	132.8	0.287800	-3.68	2878.00
57	134.6	0.277400	-3.66	2774.00
58	136.4	0.267500	-3.64	2675.00
59	138.2	0.257900	-3.63	2579.00
60	140.0	0.248800	-3.60	2488.00
61	141.8	0.240000	-3.58	2400.00
62	143.6	0.231600	-3.56	2316.00
63	145.4	0.223500	-3.56	2235.00
64	147.2	0.215700	-3.52	2157.00
65	149.0	0.208300	-3.50	2083.00
66	150.8	0.201100	-3.51	2011.00
67	152.6	0.194200	-3.48	1942.00
68	154.4	0.187600	-3.44	1876.00
69	156.2	0.181300	-3.42	1813.00
70	158.0	0.175200	-3.42	1752.00
71	159.8	0.169300	-3.40	1693.00
72	161.6	0.163700	-3.39	1637.00
73	163.4	0.158200	-3.38	1582.00
74	165.2	0.153000	-3.33	1530.00
75	167.0	0.148000	-3.31	1480.00
76	168.8	0.143200	-3.32	1432.00
77	170.6	0.138500	-3.32	1385.00
78	172.4	0.134000	-3.28	1340.00
79	174.2	0.129700	-3.28	1297.00
80	176.0	0.125500	-3.27	1255.00
81	177.8	0.121500	-3.21	1215.00
82	179.6	0.117700	-3.19	1177.00
83	181.4	0.114000	-3.20	1140.00
84	183.2	0.110400	-3.17	1104.00
85	185.0	0.107000	-3.13	1070.00
86	186.8	0.103700	-3.13	1037.00
87	188.6	0.100500	-3.14	1005.00
88	190.4	0.097380	-3.13	973.80
89	192.2	0.094410	-3.09	944.10
90	194.0	0.091550	-3.07	915.50
91	195.8	0.088780	-3.06	887.80
92	197.6	0.086120	-3.04	861.20
93	199.4	0.083540	-3.03	835.40
94	201.2	0.081060	-3.01	810.60
95	203.0	0.078660	-2.99	786.60
96	204.8	0.076350	-2.97	763.50
97	206.6	0.074120	-2.96	741.20
98	208.4	0.071960	-2.95	719.60
99	210.2	0.069870	-2.93	698.70
100	212.0	0.067860	-2.92	678.60
101	213.8	0.065910	-2.91	659.10
102	215.6	0.064030	-2.88	640.30
103	217.4	0.062220	-2.87	622.20
104	219.2	0.060460	-2.86	604.60
105	221.0	0.058760	-2.84	587.60
